 De Nederlandse supporters juichten       .,1
 Mijn kleine zusje krijst       .,1
 De gymdocent  mopperde       .,1
 Onze buurman op de camping heeft gesnurkt      .,1
 De boze stier snuift       .,1
 De verdediger van Barcelona heeft gescoord      .,1
 Het vliegtuig daalt       .,1
 Mijn kleine neefje is gegroeid      .,1
 De trein naar Parijs is vertrokken      .,1
 Het vliegtuig van de koningin is geland      .,1
 De wegwerkers hebben gepauzeerd      .,1
 De ijsjes smelten       .,1
 De prijs van treinkaartjes is gestegen      .,1
 De deur van de slaapkamer klemt       .,1
 Het plannetje is mislukt      .,1
 Mijn stoel wiebelt       .,1
 De kinderen uit groep vier gaan zwemmen      .,1
 De oude vrouw is uitgegleden      .,1
 De campinggasten hebben geklaagd      .,1
 Mijn zusje zeurt       .,1
 Mijn kleine neefje stotterde       .,1
 De onderkoelde zwemmers bibberden       .,1
 De vermoeide zwemmers rusten  uit     .,1
 De enthousiaste kinderen hebben gezwaaid      .,1
 De gearresteerde man heeft gelogen      .,1
 Het publiek applaudisseerde       .,1
 De recordpoging is mislukt      .,1
 De gevangenen probeerden te ontsnappen      .,1
 De monumentale toren stortte  in     .,1
 De eindexamenkandidaat heeft afgekeken      .,1
 De rondvaartboot  is vertrokken      .,1
 Mijn rechterbeen jeukt       .,1
 De fans van het tieneridool gillen       .,1
 Deze twee zinnen rijmen       .,1
 Mijn beide grootouders hebben gewerkt      .,1
 De werknemers van het ziekenhuis hebben geluncht      .,1
 De teleurgestelde supporters balen       .,1
 De jonge vosjes stoeien       .,1
 De vrouw met het volle winkelmandje heeft voorgedrongen      .,1
 De conditietrainer heeft hardgelopen      .,1
 Mijn beste vriend gaat skiën      .,1
 De boze hond gromt       .,1
 Het paard van de springruiter heeft gegaloppeerd      .,1
 Ons mooie kampvuur is uitgegaan      .,1
 De winst van het bedrijf is gedaald      .,1
 Ik heb geoefend      .,1
 Het jonge kalfje is verdronken      .,1
 De muggen in mijn kamer zoemen       .,1
 Mijn favoriete band heeft opgetreden      .,1
 De krant van mijn vader ritselt       .,1
 De luide muziek is gestopt      .,1
 Mijn lievelingsbroek is versleten      .,1
 Het verlegen meisje heeft geknutseld      .,1
 De vastgevroren zwaan trilde       .,1
 De tevreden werknemer heeft gegrijnsd      .,1
 Het baby'tje glimlacht       .,1
 De ontevreden cafébaas moppert       .,1
 De motor van onze boot sputterde       .,1
 De marathonloper is gestruikeld      .,1
 De vermoeide atleten moesten uitrusten      .,1
 Het luxe cruiseschip is gezonken      .,1
 De gigantische vissersboot is vastgelopen      .,1
 Dat boek is uitgeleend      .,1
 De dodo is uitgestorven      .,1
 De planten op de vensterbank zijn uitgedroogd      .,1
 De buurvrouw van mijn oma is overleden      .,1
 De winnaar van de gouden medaille heeft gejuicht      .,1
 De roedel wolven huilt       .,1
 Mijn broertje en zusje hebben gehuild      .,1
 De traumahelikopter is opgestegen      .,1
 Het hypermoderne blusvliegtuigje is opgestegen      .,1
 De zon heeft geschenen      .,1
 De geïnteresseerde toeschouwers hebben geapplaudisseerd      .,1
 Mijn huiduitslag is verdwenen      .,1
 Het zeilbootje van mijn oom is gezonken      .,1
 Het papieren vliegtuigje zweeft       .,1
 De wereldberoemde violiste heeft opgetreden      .,1
 Onze trap kraakt       .,1
 Mijn zolderraampje klemt       .,1
 Het personeel van de reinigingsdienst heeft gestaakt      .,1
 De verontwaardigde basisschooldocenten hebben gedemonstreerd      .,1
 De windrichting is gedraaid      .,1
 De fruitbomen in onze tuin bloeien       .,1
 De spannende voetbalwedstrijd is afgelopen      .,1
 Sommige eindexamenkandidaten hadden gespiekt      .,1
 De veerpont naar Newcastle is vertrokken      .,1
 De debutant van Barcelona heeft gescoord      .,1
 De winst van het bedrijf is gestegen      .,1
 De prijs van goud is gestegen      .,1
 De hordeloper is gestruikeld      .,1
 De resultaten van het Braziliaanse volleybalteam  zijn tegengevallen      .,1
 De schade aan het gebouw viel  mee     .,1
 Onze kleindochter slaapt       .,1
 De fruitbomen zijn gegroeid      .,1
 De trambestuurders staken       .,1
 Mijn kleine neefje zeurt       .,1
 De deuren van de trein zijn gesloten      .,1
 De kinderen van mijn zus willen stoeien      .,1
 De meegereisde supporters baalden       .,1
 Het oude echtpaartje wandelt       .,1
 De onvermoeibare wielrenner fietst       .,1
 De marathonloper rende       .,1
 De weergaloze ballerina heeft gedanst      .,1
 De broer van mijn vriendin heeft gelogen      .,1
 Mijn oudste zus studeert       .,1
 De kat van de buren miauwt       .,1
 Mijn oma heeft gezwommen      .,1
 De geschiedenisjuf zeurt       .,1
 De pasgeboren baby huilt       .,1
 De jongens zullen spelen      .,1
 De prijs van zilver is gestegen      .,1
 Het vliegtuig daalt       .,1
 De leraren hebben vergaderd      .,1
 Het misselijke meisje heeft overgegeven      .,1
 Het krakkemikkige roeibootje zal zinken      .,1
 De vakantiegangers genieten       .,1
 De kangoeroe springt       .,1
 De reiziger is verdwaald      .,1
 Ik heb gewonnen      .,1
 Willemijn aait de hond van de buren      .,2
 Zij heeft het concert van haar favoriete band bezocht     .,2
 De aanhangers van de voetbalvereniging  hebben het clublied gezongen     .,2
 De sportvisser ving een schitterende forel      .,2
 Ingeborg kuste haar vriendje      .,2
 De vermoeide moeder heeft het kindje gevoerd     .,2
 De keeper van het Nederlands elftal stopte de penalty      .,2
 Ariani knuffelt haar moeder      .,2
 De ijverige bevers hebben een dam gebouwd     .,2
 De alerte strandwacht redde het leven van het meisje      .,2
 De uitzinnige menigte viert de verjaardag van de koning      .,2
 De parachutist bewondert het geweldige uitzicht      .,2
 Deze speciale crème kan rode vlekken genezen     .,2
 Rembrandt van Rhijn heeft De nachtwacht geschilderd     .,2
 Veel topsporters volgen een speciaal dieet      .,2
 De bruidegom negeerde het advies van zijn familie      .,2
 De wetenschapper deed een bijzondere ontdekking      .,2
 De bioloog ontdekte een nieuwe vissoort      .,2
 De medewerkers van de dierenambulance hebben de vastgevroren zwaan gered     .,2
 Henk Angenent heeft de laatste Elfstedentocht gewonnen     .,2
 De frisdrankverkoper maakt een enorme winst      .,2
 Annie M.G. Schmidt heeft mijn favoriete kinderboek geschreven     .,2
 De twee snorkelaars zagen een kleine haai      .,2
 Mario Balotelli scoorde het winnende doelpunt      .,2
 Ik herkende mijn neef uit Amerika      .,2
 De actievoerders hebben het gebouw van de regeringspartij bestormd     .,2
 De schrijfster promootte haar nieuwe boek      .,2
 De online jongerenkrant had twintigduizend abonnees      .,2
 Het uiltje at een muisje      .,2
 De marktkoopman verkocht handdoeken en zonnebrillen      .,2
 De verpleger verzorgde de wond van de patiënt      .,2
 De klassenleraar sprak de vervelende leerlingen  toe    .,2
 Sommige medicijnen hebben vervelende bijwerkingen      .,2
 De vandaal had het bushokje vernield     .,2
 Mijn vader heeft een nieuw kookboek gekocht     .,2
 Hoeveel kinderen hebben een eigen laptop      .,2
 Zonnebrandcrème beschermt je huid      .,2
 Mijn grootvader heeft zijn eigen huis gebouwd     .,2
 De leerlingen uit de tweede klas maakten hun huiswerk      .,2
 Het kleine kleutertje heeft een hobbelpaard gekregen     .,2
 Mijn konijn heeft het snoer van mijn oplader vernield     .,2
 De docent bedacht nieuwe oefenzinnen      .,2
 Het meisje heeft haar lesboek gesloten     .,2
 Mijn zus heeft haar rijbewijs gehaald     .,2
 De onvoorzichtige snowboarders veroorzaakten een lawine      .,2
 Het wereldnatuutfonds beschermt bijzondere dieren      .,2
 De waakhond beschermde het huis van zijn bazin      .,2
 De dochter van mijn zus heeft wilde leeuwen gevoerd     .,2
 De leeuwen vielen een jonge zebra  aan    .,2
 De jeugdige bende heeft een aantal winkels beroofd     .,2
 De opmerking van de minister-president veroorzaakten een nationale discussie      .,2
 Een zakenroller heeft mijn portemonnee gestolen     .,2
 Thijs en Nienke kweken hun eigen tomaten      .,2
 Airbags en gordels beschermen de bestuurder en passagiers van de auto      .,2
 De voetballer negeerde de preek van de scheidsrechter      .,2
 Ridder Tiuri en zijn vriend Piak beleefden allerlei spannende avonturen      .,2
 Veel sportliefhebbers verzamelen plaatje van bekende voetballers      .,2
 Drie miljoen Nederlanders bekeken de opening van de Olympische Spelen      .,2
 De drie vrienden hebben Boedapest en Bratislava bezocht     .,2
 De luide muziek verstoorde de nachtrust van de campinggasten      .,2
 De Olympische sporter kreeg de zilveren medaille overhandigd     .,2
 Deze jonge zangeres heeft een geweldige stem      .,2
 De ervaren docent verloor zijn geduld      .,2
 De winnares van de poëziewedstrijd heeft een publicatie in de krant gewonnen     .,2
 De pubers bestelden twee pizza's en een hamburger      .,2
 De barbecue van het Nederlandse echtpaar veroorzaakten een zeer grote bosbrand      .,2
 De fotograaf opende de tentoonstelling      .,2
 De grootouders verwisselden de namen van hun kleinkinderen      .,2
" De omvangrijke encyclopedie bevatte veel grafieken, tabellen en afbeeldingen      .",2
 De afdelingsleider besprak de eindexamenresultaten      .,2
 De bouwlieden pakten het gereedschap      .,2
 De scholier erkende zijn fout      .,2
 De ober liet de borden vallen     .,2
 De zeewind bracht een beetje verkoeling      .,2
 Alle mensen op het strand zagen de spelende dolfijnen      .,2
 Het strand trekt miljoenen bezoekers      .,2
 Experts van de universiteit hebben de waarde van het schilderij getaxeerd     .,2
